objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
c.iii-p.21,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.21-C.III.jpg,objects/small/MF-p.21-C.III.jpg,objects/thumbs/MF-p.21-C.III.jpg,,
c.iii-p.22,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.22-C.III.jpg,objects/small/MF-p.22-C.III.jpg,objects/thumbs/MF-p.22-C.III.jpg,,
canto_iv,,Canto IV,,José Hernández,Imprenta de La Pampa,1872,<i>El Gaucho Martín Fierro</i> por José Hernández,verso; impreso; en el fortín; el cobro del sueldo,Buenos Aires,-34.6,-58.4333,University of California,,,p.22-26,,,español,transcripciones,,objects/small/MF-p.22-C.IV.jpg,objects/thumbs/MF-p.22-C.IV.jpg,,/objects/transcripciones/mf-c4.html
c.iv-p.22,canto_iv,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.22-C.IV.jpg,objects/small/MF-p.22-C.IV.jpg,objects/thumbs/MF-p.22-C.IV.jpg,,
c.iv-p.23,canto_iv,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.23-C.IV.jpg,objects/small/MF-p.23-C.IV.jpg,objects/thumbs/MF-p.23-C.IV.jpg,,
c.iv-p.24,canto_iv,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.24-C.IV.jpg,objects/small/MF-p.24-C.IV.jpg,objects/thumbs/MF-p.24-C.IV.jpg,,
c.iv-p.25,canto_iv,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.25-C.IV.jpg,objects/small/MF-p.25-C.IV.jpg,objects/thumbs/MF-p.25-C.IV.jpg,,
c.iv-p.26,canto_iv,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.26-C.IV.jpg,objects/small/MF-p.26-C.IV.jpg,objects/thumbs/MF-p.26-C.IV.jpg,,
canto_v,,Canto V,,José Hernández,Imprenta de La Pampa,1872,<i>El Gaucho Martín Fierro</i> por José Hernández,verso; impreso; en el fortín,Buenos Aires,-34.6,-58.4333,University of California,,,p.27-30,,,español,transcripciones,,objects/small/MF-p.27-C.V.jpg,objects/thumbs/MF-p.27-C.V.jpg,,/objects/transcripciones/mf-c5.html
c.v-p.27,canto_v,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.27-C.V.jpg,objects/small/MF-p.27-C.V.jpg,objects/thumbs/MF-p.27-C.V.jpg,,
c.v-p.28,canto_v,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.28-C.V.jpg,objects/small/MF-p.28-C.V.jpg,objects/thumbs/MF-p.28-C.V.jpg,,
c.v-p.29,canto_v,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.29-C.V.jpg,objects/small/MF-p.29-C.V.jpg,objects/thumbs/MF-p.29-C.V.jpg,,
c.v-p.30,canto_v,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.30-C.V.jpg,objects/small/MF-p.30-C.V.jpg,objects/thumbs/MF-p.30-C.V.jpg,,
